윈도우,분석수,AR_WAPE,AR_RMSE
BT@2025-06,10559,0.062142210121951494,13743.58780926818
BT@2024-06,10422,0.03634313098647489,6267.272956222014
BT@2023-06,10274,0.048821035098316964,6031.028002940117
BT@2022-06,10151,0.11214962852051048,15727.561264491527
BT@2021-06,9861,0.08663824140644606,11588.906801056359
