윈도우,단지,모델,RMSE,WAPE
BT@2025-06,강남구|개포동|개포현대2차(220동)|84.81,AR,34303.3525807588,0.10872537221805183
BT@2025-06,강남구|개포동|경남|123.28,RandomWalk,42341.19459324868,0.1018078547467181
BT@2025-06,강남구|개포동|경남|123.28,SeasonalNaive,73514.46506810754,0.18552651994931824
BT@2025-06,강남구|개포동|경남|123.28,AR,35792.86187635427,0.08647624765780139
BT@2025-06,강남구|개포동|경남|149.21,RandomWalk,46115.3917029517,0.1136612259324906
BT@2025-06,강남구|개포동|경남|149.21,SeasonalNaive,71784.30784010756,0.1832195254597832
BT@2025-06,강남구|개포동|경남|149.21,AR,49576.858886121714,0.12191926234982367
BT@2025-06,강남구|개포동|경남|149.57,RandomWalk,46115.3917029517,0.1136612259324906
BT@2025-06,강남구|개포동|경남|149.57,SeasonalNaive,71784.30784010756,0.1832195254597832
BT@2025-06,강남구|개포동|경남|149.57,AR,49576.858886121714,0.12191926234982367
BT@2025-06,강남구|개포동|경남|166.48,RandomWalk,66326.00322648745,0.15120151818260444
BT@2025-06,강남구|개포동|경남|166.48,SeasonalNaive,92930.69849355481,0.21609338972267617
BT@2025-06,강남구|개포동|경남|166.48,AR,64807.23631560682,0.1479060860078884
BT@2025-06,강남구|개포동|경남|182.11,RandomWalk,46120.50941826235,0.10378308291636036
BT@2025-06,강남구|개포동|경남|182.11,SeasonalNaive,63803.361111177655,0.14743020468275284
BT@2025-06,강남구|개포동|경남|182.11,AR,50152.00821509512,0.112182960005397
BT@2025-06,강남구|개포동|경남|182.2,RandomWalk,46120.50941826235,0.10378308291636036
BT@2025-06,강남구|개포동|경남|182.2,SeasonalNaive,63803.361111177655,0.14743020468275284
BT@2025-06,강남구|개포동|경남|182.2,AR,50152.00821509512,0.112182960005397
BT@2025-06,강남구|개포동|경남|186.16,RandomWalk,46120.50941826235,0.10378308291636036
BT@2025-06,강남구|개포동|경남|186.16,SeasonalNaive,63803.361111177655,0.14743020468275284
BT@2025-06,강남구|개포동|경남|186.16,AR,50152.00821509512,0.112182960005397
BT@2025-06,강남구|개포동|경남|84.6,RandomWalk,54995.53180638107,0.15616822154129067
BT@2025-06,강남구|개포동|경남|84.6,SeasonalNaive,68719.59273744287,0.20810988643487754
BT@2025-06,강남구|개포동|경남|84.6,AR,54255.769050892326,0.1540866183393025
BT@2025-06,강남구|개포동|경남|84.72,RandomWalk,30900.979849620653,0.09840120151282626
BT@2025-06,강남구|개포동|경남|84.72,SeasonalNaive,41219.70380271234,0.14154101465478042
BT@2025-06,강남구|개포동|경남|84.72,AR,10707.156641267702,0.03224037844005133
BT@2025-06,강남구|개포동|경남|91.91,RandomWalk,30900.979849620653,0.09840120151282626
BT@2025-06,강남구|개포동|경남|91.91,SeasonalNaive,41219.70380271234,0.14154101465478042
BT@2025-06,강남구|개포동|경남|91.91,AR,10707.156641267702,0.03224037844005133
BT@2025-06,강남구|개포동|경남|96.98,RandomWalk,54995.53180638107,0.15616822154129067
BT@2025-06,강남구|개포동|경남|96.98,SeasonalNaive,68719.59273744287,0.20810988643487754
BT@2025-06,강남구|개포동|경남|96.98,AR,54255.769050892326,0.1540866183393025
BT@2025-06,강남구|개포동|대치주성|33.18,RandomWalk,35715.25040044748,0.2276867030965388
BT@2025-06,강남구|개포동|대치주성|33.18,SeasonalNaive,38465.41135227855,0.2552106860959319
BT@2025-06,강남구|개포동|대치주성|33.18,AR,36598.34594793024,0.23282610995059216
BT@2025-06,강남구|개포동|대치주성|39.53,RandomWalk,35210.96946265468,0.18777466838248855
BT@2025-06,강남구|개포동|대치주성|39.53,SeasonalNaive,42095.57907805362,0.23849403375681344
BT@2025-06,강남구|개포동|대치주성|39.53,AR,35903.96932867422,0.18868976280326372
BT@2025-06,강남구|개포동|대치주성|49.86,RandomWalk,38901.86085630513,0.18260136996066326
BT@2025-06,강남구|개포동|대치주성|49.86,SeasonalNaive,48877.3233812641,0.24380677117423039
BT@2025-06,강남구|개포동|대치주성|49.86,AR,40044.62710437846,0.18624201667646137
BT@2025-06,강남구|개포동|디에이치아너힐즈|106.66,RandomWalk,43132.54764869207,0.08886971527178662
BT@2025-06,강남구|개포동|디에이치아너힐즈|106.66,SeasonalNaive,43481.317827315506,0.08973252804141561
BT@2025-06,강남구|개포동|디에이치아너힐즈|106.66,AR,43114.43488195066,0.0888328771540409
