모델,step거리우위,비율
SeasonalNaive,173887,0.28264933257911196
RandomWalk,149361,0.2427828817758012
AR,100171,0.16282566433248158
PureCatBoost,79169,0.12868739475035923
PureTFT,112616,0.18305472656224603
