모델,평균WAPE,평균RMSE
SeasonalNaive,0.07507568614298112,11845.209652947146
RandomWalk,0.041988953515037904,7267.071630419106
AR,0.06884127411472296,10656.51449257974
PureCatBoost,0.054724804357689755,8582.30489164286
PureTFT,0.04763052131979283,7721.521858556991
