모델,RMSE,WAPE
RandomWalk,23409.485572069076,0.06195701469330809
SeasonalNaive,31733.49096513788,0.08268360414341906
AR,30803.198151954464,0.07588004870695271
BAR,30258.95005960215,0.074834023089421
BAR-X,32023.603480078804,0.08223588662486854