윈도우,단지,모델,RMSE,WAPE
BT@2023-06,강남구|개포동|래미안블레스티지|126.92,AR,5362.444110981201,0.011232387038332436
BT@2023-06,강남구|개포동|래미안블레스티지|126.92,BAR,4000.210206719906,0.00808858116554768
BT@2023-06,강남구|개포동|래미안블레스티지|126.92,BAR-X,2757.6435874192175,0.005849930476448045
BT@2022-06,강남구|개포동|래미안블레스티지|126.92,RandomWalk,3.4924596548080444e-10,8.217552128960105e-16
BT@2022-06,강남구|개포동|래미안블레스티지|126.92,SeasonalNaive,19790.57014506317,0.029411764705882217
BT@2022-06,강남구|개포동|래미안블레스티지|126.92,AR,22471.04522964311,0.046884802075149994
BT@2022-06,강남구|개포동|래미안블레스티지|126.92,BAR,20742.071783001447,0.04340682025745062
BT@2022-06,강남구|개포동|래미안블레스티지|126.92,BAR-X,15811.760058021891,0.03316784028159405
BT@2024-06,강남구|개포동|래미안블레스티지|126.97,RandomWalk,3818.813079129822,0.006698564593301413
BT@2024-06,강남구|개포동|래미안블레스티지|126.97,SeasonalNaive,6166.103577895458,0.013875598086124659
BT@2024-06,강남구|개포동|래미안블레스티지|126.97,AR,3629.2449874393305,0.0075233535405698805
BT@2024-06,강남구|개포동|래미안블레스티지|126.97,BAR,2497.3702624723837,0.004973239606527364
BT@2024-06,강남구|개포동|래미안블레스티지|126.97,BAR-X,1435.5855590763979,0.002847911487355501
BT@2023-06,강남구|개포동|래미안블레스티지|126.97,RandomWalk,5728.219618695067,0.010189228529840697
BT@2023-06,강남구|개포동|래미안블레스티지|126.97,SeasonalNaive,5728.219618695067,0.010189228529840697
BT@2023-06,강남구|개포동|래미안블레스티지|126.97,AR,5362.444110981201,0.011232387038332436
BT@2023-06,강남구|개포동|래미안블레스티지|126.97,BAR,4000.210206719906,0.00808858116554768
BT@2023-06,강남구|개포동|래미안블레스티지|126.97,BAR-X,2757.6435874192175,0.005849930476448045
BT@2022-06,강남구|개포동|래미안블레스티지|126.97,RandomWalk,3.4924596548080444e-10,8.217552128960105e-16
BT@2022-06,강남구|개포동|래미안블레스티지|126.97,SeasonalNaive,19790.57014506317,0.029411764705882217
BT@2022-06,강남구|개포동|래미안블레스티지|126.97,AR,22471.04522964311,0.046884802075149994
BT@2022-06,강남구|개포동|래미안블레스티지|126.97,BAR,20742.071783001447,0.04340682025745062
BT@2022-06,강남구|개포동|래미안블레스티지|126.97,BAR-X,15811.760058021891,0.03316784028159405
BT@2024-06,강남구|개포동|래미안블레스티지|49.9,RandomWalk,23791.19234786976,0.1004699037816071
BT@2024-06,강남구|개포동|래미안블레스티지|49.9,SeasonalNaive,23046.149352983073,0.09487581114343269
BT@2024-06,강남구|개포동|래미안블레스티지|49.9,AR,22681.676581226347,0.09522181156597753
BT@2024-06,강남구|개포동|래미안블레스티지|49.9,BAR,22599.703486990235,0.09485286798037244
BT@2024-06,강남구|개포동|래미안블레스티지|49.9,BAR-X,23514.051606314682,0.09917105277795635
BT@2023-06,강남구|개포동|래미안블레스티지|49.9,RandomWalk,3461.0932762158805,0.0183150183150184
BT@2023-06,강남구|개포동|래미안블레스티지|49.9,SeasonalNaive,3535.533905932762,0.017094017094017266
BT@2023-06,강남구|개포동|래미안블레스티지|49.9,AR,3581.866256097076,0.018898847509171132
BT@2023-06,강남구|개포동|래미안블레스티지|49.9,BAR,4071.939950180378,0.021175418177251083
BT@2023-06,강남구|개포동|래미안블레스티지|49.9,BAR-X,3284.4760559212023,0.017477229260509947
BT@2022-06,강남구|개포동|래미안블레스티지|49.9,RandomWalk,1909.4065395649554,0.008403361344537983
BT@2022-06,강남구|개포동|래미안블레스티지|49.9,SeasonalNaive,4564.354645876435,0.019207683073229544
BT@2022-06,강남구|개포동|래미안블레스티지|49.9,AR,2042.7499455868672,0.009151018428772108
BT@2022-06,강남구|개포동|래미안블레스티지|49.9,BAR,4009.6964693003165,0.019609654671057547
BT@2022-06,강남구|개포동|래미안블레스티지|49.9,BAR-X,4102.091939690257,0.02017882037374489
