모델,WAPE_P50,RMSE_P50,WAPE_시나리오평균,RMSE_시나리오평균,PICP80,Pinball,IntervalScore80,n_scen,drop_pct
RandomWalk,0.06046148212667385,8055.364868932223,0.07107993592329304,9578.84786142519,0.6521803884189206,2451.6406721758085,37780.73818475745,1000.0,0.1936812423050955
SeasonalNaive,0.09827652938862604,12398.50148274028,0.1187930518837928,15246.009067346122,0.587232084938507,3971.845903946178,61567.38687927371,1000.0,10.623809523809525
AR,0.06990628656144594,9305.303296132566,0.09077919396253252,12302.505658148562,0.7070839456160558,2637.7376166682134,39822.11145636892,1000.0,0.4756721871400771
AR+CatBoost,0.059060265204317015,8120.526231590524,0.07273795657221865,10009.10754684658,0.6138068099077273,2405.257149198813,37850.928533762664,1000.0,0.2403828587314826
AR+TFT,0.055093266366442344,7527.32712986964,0.06822274874489731,9313.89764570912,0.6374607808094047,2206.656165112793,34098.891527339554,1000.0,0.20286548314071248
CatBoost,0.05902906700338599,7932.667767908561,0.07205753349815393,9810.028079480091,0.5850377960469704,2378.303082949768,36860.558875685645,1000.0,0.2305770681917471
TFT,0.05421409451607795,7526.943335555474,0.06722438533516364,9255.2108593187,0.6473714868210281,2220.9674460844767,34545.21595610898,1000.0,0.1970769291870209
