iter	RMSE
0	0.1664851606
1	0.1628986779
2	0.1594316112
3	0.1560896728
4	0.1528578306
5	0.1497503145
6	0.1467314629
7	0.1438117597
8	0.1409864202
9	0.1382768304
10	0.135660926
11	0.1331297931
12	0.1306723538
13	0.1283226292
14	0.1260804279
15	0.1239064734
16	0.1217912079
17	0.1197753232
18	0.1177843722
19	0.1158925289
20	0.1140368247
21	0.1122940164
22	0.1105756009
23	0.1089380812
24	0.1073915603
25	0.1058800439
26	0.1044604074
27	0.1030535202
28	0.1017077588
29	0.100399233
30	0.09915582172
31	0.09795821211
32	0.09679689438
33	0.09567675907
34	0.0945950811
35	0.093582879
36	0.09261653716
37	0.09164216964
38	0.09072960398
39	0.08983344352
40	0.08895326141
41	0.08814347608
42	0.08738705163
43	0.0866163839
44	0.08586853508
45	0.08516090789
46	0.08448163333
47	0.08383848043
48	0.08323138506
49	0.0826531821
50	0.08204600865
51	0.08145499661
52	0.08093269415
53	0.08040069513
54	0.07991938216
55	0.07943066404
56	0.07895586037
57	0.07849158667
58	0.07806670226
59	0.07766167446
60	0.07725176934
61	0.07687247407
62	0.07651505239
63	0.07616581502
64	0.07581469969
65	0.07548851677
66	0.07517308775
67	0.07484531239
68	0.07455564738
69	0.07428291168
70	0.07398466378
71	0.07368286493
72	0.07343455302
73	0.07318887257
74	0.07296211574
75	0.07270782838
76	0.07247285285
77	0.07224010094
78	0.07201504299
79	0.0717569617
80	0.07156293136
81	0.07136442979
82	0.07114257275
83	0.07095788013
84	0.07078624508
85	0.07059905472
86	0.07041884561
87	0.07025938155
88	0.07005931485
89	0.06987237733
90	0.06971309646
91	0.06955210964
92	0.06941374595
93	0.06927409143
94	0.06909122072
95	0.06896086065
96	0.06882612924
97	0.06869602781
98	0.0685565802
99	0.06840549769
100	0.06826275331
101	0.06814639861
102	0.06802951082
103	0.06790956265
104	0.06779818484
105	0.06764770241
106	0.06754806117
107	0.0674326268
108	0.06729736255
109	0.06719252062
110	0.06708453662
111	0.06700152558
112	0.06688742381
113	0.06679542278
114	0.06668666087
115	0.06658327313
116	0.06649988941
117	0.06639995506
118	0.06629341394
119	0.06619633053
120	0.06608328475
121	0.06599695679
122	0.06592677567
123	0.06584967616
124	0.06575232274
125	0.06567787214
126	0.06558655485
127	0.065516406
128	0.06545517308
129	0.06539388398
130	0.0652793157
131	0.06519000709
132	0.06510476707
133	0.06502792938
134	0.06494811233
135	0.06488842075
136	0.06481338053
137	0.06475906166
138	0.06467733982
139	0.06460864655
140	0.06453479258
141	0.06447346143
142	0.06438533183
143	0.06431746534
144	0.06425985977
145	0.06419413596
146	0.06412995716
147	0.06405750228
148	0.06398826854
149	0.06393537736
150	0.06387840278
151	0.06382191117
152	0.0637701624
153	0.06370765856
154	0.06365465378
155	0.06359812322
156	0.06353512364
157	0.06348114369
158	0.06344022312
159	0.06339803426
160	0.06332170405
161	0.06327115218
162	0.06321248802
163	0.06316240122
164	0.06310994092
165	0.06307306423
166	0.0630285649
167	0.06298713626
168	0.06293083229
169	0.06287582234
170	0.06284121655
171	0.06278803896
172	0.06273942148
173	0.06270698558
174	0.0626470428
175	0.06261180655
176	0.0625664769
177	0.06250716497
178	0.06245501312
179	0.06242319658
180	0.06239020292
181	0.06234347724
182	0.06230867578
183	0.06225536261
184	0.06220444604
185	0.0621735249
186	0.06212473906
187	0.06208012677
188	0.06203375714
189	0.06200516433
190	0.06196908667
