iter	Passed	Remaining
139	132391	2704564
140	133283	2702526
141	134336	2703759
142	135330	2703769
143	136197	2701252
144	137198	2701395
145	138068	2698957
146	138983	2697419
147	140000	2697839
148	140963	2697222
149	141843	2695021
150	142809	2694473
151	143737	2693191
152	144603	2690765
153	145578	2690373
154	146570	2690269
155	147537	2689727
156	148561	2690191
157	149553	2690074
158	150548	2689997
159	151416	2687640
160	152327	2686070
161	153370	2686823
162	154335	2686189
163	155344	2686324
164	156355	2686466
165	157315	2685741
166	158325	2685848
167	159331	2685876
168	160264	2684666
169	161147	2682636
170	162071	2681280
171	163094	2681585
172	163962	2679321
173	164916	2678474
174	165857	2677418
175	166796	2676327
176	167781	2675973
177	168734	2675113
178	169562	2672262
179	170564	2672172
180	171599	2672587
181	172568	2671969
182	173604	2672373
183	174529	2671054
184	175605	2672044
185	176499	2670265
186	177393	2668495
187	178338	2667490
188	179322	2667060
189	180321	2666862
190	181240	2665475
191	182308	2666265
192	183292	2665819
193	184272	2665298
194	185227	2664420
195	186201	2663820
196	187213	2663758
197	188178	2663013
198	189163	2662544
199	190163	2662290
200	191191	2662413
201	192183	2662030
202	193202	2662001
203	194168	2661244
204	195116	2660247
205	196131	2660151
206	197113	2659604
207	198126	2659465
208	199150	2659468
209	200197	2659762
210	201194	2659385
211	202176	2658807
212	203066	2657030
213	204063	2656641
214	204869	2653775
215	205849	2653174
216	206767	2651770
217	207763	2651368
218	208666	2649781
219	209600	2648585
220	210512	2647123
221	211542	2647144
222	212507	2646342
223	213523	2646161
224	214525	2645819
225	215394	2643822
226	216342	2642814
227	217226	2641019
228	218243	2640839
229	219249	2640521
230	220161	2639075
231	221074	2637642
232	222044	2636899
233	223038	2636424
234	223967	2635195
235	224843	2633339
236	225736	2631690
237	226601	2629719
238	227590	2629189
239	228585	2628737
240	229598	2628475
241	230497	2626910
242	231410	2625506
243	232336	2624254
244	233352	2624028
245	234252	2622482
246	235246	2622001
247	236249	2621611
248	237150	2620080
249	238034	2618379
250	238954	2617075
251	239893	2615984
252	240771	2614225
253	241742	2613489
254	242786	2613523
255	243814	2613382
256	244696	2611687
257	245689	2611162
258	246591	2609682
259	247588	2609206
260	248566	2608519
261	249612	2608543
262	250493	2606844
263	251458	2606022
264	252459	2605575
265	253396	2604461
266	254298	2602991
267	255264	2602170
268	256285	2601912
269	257090	2599469
270	258004	2598136
271	258957	2597187
272	259976	2596906
273	260884	2595513
274	261914	2595336
275	262937	2595076
276	263927	2594492
277	264902	2593760
278	265846	2592720
279	266818	2591955
280	267803	2591310
281	268805	2590823
282	269674	2589067
283	270445	2586374
284	271449	2585913
285	272493	2585827
286	273433	2584757
287	274437	2584285
288	275391	2583343
289	276432	2583213
290	277445	2582817
291	278426	2582123
292	279302	2580451
293	280262	2579554
294	281242	2578846
295	282247	2578366
296	283233	2577706
297	284102	2575992
298	285067	2575137
299	285970	2573735
300	286851	2572134
301	287829	2571407
302	288866	2571196
303	289814	2570197
304	290837	2569855
305	291843	2569365
306	292853	2568903
307	293648	2566560
308	294629	2565853
309	295623	2565252
310	296601	2564504
311	297516	2563221
312	298386	2561544
313	299294	2560210
314	300171	2558602
315	301096	2557413
316	302000	2556046
317	302910	2554739
318	303784	2553126
319	304747	2552260
320	305708	2551378
321	306711	2550847
322	307719	2550359
323	308732	2549902
324	309721	2549248
325	310725	2548710
326	311597	2547095
327	312592	2546481
328	313609	2546048
329	314684	2546081
330	315655	2545268
331	316734	2545324
332	317731	2544716
333	318795	2544637
334	319842	2544417
335	320970	2544840
336	321875	2543487
337	322787	2542187
338	323851	2542090
339	324860	2541556
340	325794	2540429
341	326795	2539831
342	327872	2539815
343	328861	2539114
344	329864	2538523
345	330921	2538340
346	331812	2536884
347	332900	2536933
348	333973	2536862
349	335000	2536432
350	336029	2536019
351	337061	2535624
352	338030	2534752
353	339104	2534664
354	340155	2534395
355	341177	2533915
356	342194	2533389
357	343097	2532018
358	344154	2531786
359	345123	2530908
360	346161	2530523
361	347215	2530258
362	348269	2529987
363	349283	2529425
364	350337	2529148
365	351266	2527967
366	352293	2527492
367	353307	2526918
368	354350	2526545
369	355364	2525972
370	356404	2525573
371	357408	2524916
372	358340	2523755
373	359309	2522852
374	360221	2521552
375	361161	2520444
376	362223	2520193
377	363227	2519533
378	364205	2518689
379	365206	2518001
380	366224	2517433
381	367252	2516931
382	368271	2516359
383	369338	2516117
384	370348	2515483
385	371228	2513966
386	372279	2513607
387	373336	2513284
388	374412	2513088
389	375467	2512743
390	376352	2511261
391	377360	2510603
392	378384	2510048
393	379358	2509159
394	380292	2508004
395	381288	2507261
396	382362	2507029
397	383387	2506469
398	384452	2506167
399	385455	2505460
400	386393	2504333
401	387400	2503650
402	388410	2502982
403	389421	2502320
404	390428	2501636
405	391415	2500817
406	392428	2500164
407	393457	2499612
408	394289	2497811
409	395205	2496544
410	396276	2496253
411	397350	2495979
412	398367	2495343
413	399407	2494849
414	400379	2493933
415	401279	2492560
416	402210	2491389
417	403243	2490847
418	404227	2490005
419	405320	2489823
420	406383	2489460
421	407468	2489225
422	408531	2488852
423	409474	2487748
424	410456	2486882
425	411486	2486305
426	412557	2485971
427	413600	2485467
428	414587	2484628
429	415629	2484109
430	416589	2483107
431	417497	2481791
432	418394	2480412
433	419352	2479397
434	420433	2479107
435	421413	2478222
436	422420	2477491
437	423455	2476922
438	424496	2476391
439	425522	2475766
440	426410	2474340
441	427393	2473468
442	428414	2472810
443	429500	2472527
444	430402	2471186
445	431383	2470299
446	432347	2469315
447	433242	2467936
448	434235	2467114
449	435214	2466216
450	436142	2465029
451	437057	2463765
452	437986	2462587
453	439031	2462058
454	440064	2461457
455	441089	2460815
456	442081	2459985
457	442931	2458365
458	443999	2457958
459	444978	2457055
460	446068	2456764
461	446987	2455527
462	447963	2454605
463	449007	2454060
464	450025	2453367
465	451079	2452865
466	452056	2451945
467	452947	2450562
468	453943	2449744
469	454945	2448960
470	455964	2448269
471	456886	2447050
472	457945	2446573
473	458963	2445871
474	460017	2445353
475	461044	2444697
476	462077	2444068
477	462970	2442702
478	463917	2441619
479	464936	2440918
480	465972	2440302
481	467074	2440028
482	468001	2438839
483	468948	2437759
484	469883	2436614
485	470824	2435500
486	471820	2434668
487	472750	2433504
488	473776	2432826
489	474832	2432302
490	475804	2431350
491	476854	2430797
492	477727	2429335
493	478612	2427943
494	479538	2426753
495	480526	2425884
496	481598	2425434
497	482660	2424931
498	483642	2424025
499	484642	2423213
500	485665	2422508
501	486598	2421358
502	487524	2420176
503	488464	2419064
504	489402	2417937
505	490453	2417374
506	491372	2416156
507	492425	2415600
508	493390	2414610
509	494277	2413237
510	495352	2412782
511	496361	2412006
512	497388	2411314
513	498424	2410670
514	499490	2410163
515	500438	2409089
516	501383	2407998
517	502344	2406987
518	503359	2406235
519	504348	2405354
520	505367	2404617
521	506306	2403502
522	507299	2402639
523	508262	2401635
524	509309	2401029
525	510370	2400486
526	511402	2399808
527	512335	2398659
528	513370	2397992
529	514375	2397181
530	515418	2396551
531	516332	2395317
532	517465	2395099
533	518444	2394164
534	519404	2393143
535	520545	2392955
536	521607	2392399
537	522691	2391945
538	523716	2391218
539	524682	2390221
540	525870	2390231
541	526994	2389947
542	528016	2389200
543	529170	2389047
544	530335	2388941
545	531461	2388656
546	532493	2387947
547	533536	2387282
548	534739	2387333
549	535769	2386610
550	536709	2385485
551	537944	2385668
552	539078	2385397
553	540385	2385888
554	541438	2385258
555	542458	2384476
556	543408	2383389
557	544439	2382652
558	545462	2381886
559	546481	2381097
560	547401	2379879
561	548444	2379193
562	549485	2378499
563	550566	2377978
564	551467	2376679
565	552471	2375822
566	553437	2374802
567	554470	2374070
568	555496	2373307
569	556401	2372027
570	557352	2370946
571	558273	2369734
572	559280	2368890
573	560278	2368006
574	561282	2367148
575	562221	2366016
576	563219	2365130
577	564235	2364322
578	565205	2363318
579	566186	2362362
580	567222	2361637
581	568103	2360265
582	569048	2359159
583	569941	2357841
584	570958	2357035
585	571881	2355840
586	572932	2355173
587	573913	2354218
588	574809	2352911
589	575818	2352073
590	576846	2351306
591	577764	2350098
592	578789	2349318
593	579828	2348597
594	580873	2347899
595	581863	2346978
596	582837	2345995
597	583744	2344737
598	584734	2343818
599	585729	2342918
600	586749	2342115
601	587824	2341534
602	588823	2340646
603	589917	2340136
604	590869	2339060
605	591800	2337904
606	592713	2336675
607	593658	2335577
608	594586	2334411
609	595578	2333494
610	596521	2332388
611	597523	2331514
612	598415	2330208
613	599337	2329021
614	600221	2327688
615	601150	2326528
616	602164	2325702
617	603043	2324350
618	603973	2323198
619	604972	2322313
620	606019	2321610
621	607014	2320706
622	608024	2319861
623	609030	2319001
624	610003	2318014
625	610994	2317095
626	611844	2315640
627	612833	2314716
628	613687	2313279
629	614748	2312624
630	615831	2312053
631	616777	2310965
632	617641	2309569
633	618581	2308458
634	619504	2307290
635	620493	2306362
636	621439	2305277
637	622334	2304003
638	623327	2303093
639	624301	2302110
640	625277	2301138
641	626164	2299837
642	627224	2299172
643	628137	2297969
644	629080	2296874
645	629939	2295476
646	630842	2294238
647	631865	2293436
648	632727	2292052
649	633692	2291042
650	634711	2290225
651	635775	2289570
652	636767	2288659
653	637640	2287317
654	638648	2286458
655	639644	2285557
656	640565	2284392
657	641469	2283162
658	642508	2282417
659	643502	2281510
660	644491	2280583
661	645531	2279838
662	646597	2279181
663	647594	2278285
664	648538	2277199
665	649435	2275948
666	650436	2275064
667	651490	2274364
668	652504	2273524
669	653436	2272399
670	654414	2271432
671	655432	2270606
672	656452	2269783
673	657401	2268718
674	658336	2267604
675	659281	2266522
676	660232	2265465
677	661217	2264525
678	662148	2263398
679	663172	2262587
680	664208	2261820
681	665198	2260893
682	666190	2259974
683	667168	2259009
684	668216	2258279
685	669225	2257417
686	670167	2256328
687	671153	2255387
688	672157	2254507
689	673118	2253484
690	674129	2252626
691	675040	2251435
692	676011	2250446
693	677036	2249633
694	678065	2248836
695	679042	2247863
696	680005	2246847
697	681044	2246081
698	682021	2245109
699	682984	2244091
700	683922	2242994
701	684939	2242150
702	685958	2241316
703	686935	2240346
704	687986	2239615
705	688878	2238365
706	689806	2237237
707	690835	2236434
708	691838	2235544
709	692721	2234270
710	693662	2233183
711	694536	2231881
712	695556	2231048
713	696475	2229893
714	697372	2228665
715	698336	2227655
716	699265	2226530
717	700080	2225046
718	701081	2224154
719	702095	2223302
720	702973	2222020
721	703886	2220851
722	704897	2219988
723	705799	2218782
724	706825	2217970
725	707837	2217110
726	708858	2216280
727	709904	2215527
728	710903	2214625
729	711879	2213651
730	712800	2212510
731	713768	2211513
732	714639	2210216
733	715683	2209454
734	716719	2208666
735	717668	2207612
736	718670	2206718
737	719695	2205897
738	720597	2204695
739	721602	2203814
740	722482	2202548
741	723424	2201471
742	724330	2200287
743	725271	2199209
744	726286	2198357
745	727302	2197507
746	728322	2196668
747	729334	2195803
748	730308	2194825
749	731336	2194008
750	732234	2192802
751	733157	2191674
752	734038	2190418
753	735019	2189461
754	736063	2188693
755	737043	2187732
756	738065	2186897
757	739046	2185939
758	740056	2185067
759	740997	2183991
760	741891	2182778
761	742947	2182043
762	743930	2181091
763	744832	2179903
764	745771	2178822
765	746743	2177840
766	747724	2176883
767	748722	2175974
768	749605	2174732
769	750599	2173813
770	751597	2172907
771	752660	2172186
772	753670	2171311
773	754691	2170468
774	755603	2169313
775	756502	2168120
776	757513	2167247
777	758406	2166041
778	759380	2165063
779	760194	2163630
780	761257	2162906
781	762180	2161786
782	763019	2160425
783	764069	2159666
784	764974	2158494
785	765980	2157609
786	766996	2156752
787	767977	2155793
788	768901	2154679
789	769955	2153927
790	770959	2153034
791	771912	2151997
792	772924	2151126
793	773849	2150016
794	774833	2149067
795	775754	2147942
796	776668	2146800
797	777708	2146008
798	778744	2145202
799	779722	2144235
800	780701	2143275
801	781731	2142451
802	782592	2141165
803	783650	2140418
804	784648	2139506
805	785555	2138349
806	786438	2137125
807	787337	2135946
808	788316	2134984
809	789291	2134010
810	790158	2132744
811	791075	2131617
812	792094	2130763
813	793090	2129846
814	794001	2128704
815	795031	2127877
816	796027	2126962
817	796928	2125792
818	797943	2124927
819	798811	2123668
820	799792	2122713
821	800825	2121896
822	801752	2120797
823	802757	2119903
824	803659	2118738
825	804667	2117853
826	805598	2116767
827	806505	2115616
828	807513	2114729
829	808449	2113656
830	809402	2112628
831	810439	2111819
832	811413	2110843
833	812300	2109642
834	813296	2108726
835	814207	2107590
836	815219	2106714
837	816125	2105564
838	817033	2104420
839	817954	2103310
840	818931	2102345
841	819769	2101024
842	820647	2099806
843	821641	2098885
844	822544	2097731
845	823458	2096607
846	824455	2095694
847	825388	2094617
848	826386	2093706
849	827448	2092958
850	828345	2091790
851	829311	2090800
852	830223	2089671
853	831215	2088746
854	832122	2087606
855	833031	2086471
856	834056	2085628
857	835046	2084695
858	836065	2083838
859	836892	2082499
860	837906	2081629
861	838905	2080720
862	839877	2079743
863	840779	2078593
864	841798	2077733
865	842766	2076747
866	843657	2075573
867	844561	2074430
868	845602	2073624
869	846624	2072770
870	847639	2071899
871	848624	2070956
872	849636	2070076
873	850665	2069237
874	851629	2068242
875	852669	2067431
876	853542	2066214
877	854484	2065166
878	855384	2064017
879	856323	2062960
880	857287	2061965
881	858396	2061318
882	859370	2060348
883	860360	2059414
884	861350	2058482
885	862407	2057707
886	863416	2056820
887	864381	2055827
888	865251	2054607
889	866189	2053549
890	867063	2052341
891	868003	2051291
892	869026	2050435
893	869911	2049254
894	870904	2048329
895	871938	2047497
896	872953	2046623
897	873849	2045470
898	874725	2044269
899	875740	2043394
900	876674	2042329
901	877562	2041160
902	878562	2040250
903	879550	2039311
904	880463	2038201
905	881539	2037465
906	882445	2036336
907	883298	2035089
908	884241	2034046
909	885118	2032853
910	886108	2031921
911	887089	2030969
912	888114	2030114
913	889084	2029135
914	890148	2028372
915	891142	2027446
916	892063	2026356
917	893060	2025437
918	894014	2024423
919	895019	2023522
920	895892	2022324
921	896789	2021180
922	897759	2020202
923	898613	2018962
924	899588	2017996
925	900527	2016947
926	901557	2016103
927	902508	2015084
928	903548	2014260
929	904538	2013328
930	905393	2012093
931	906402	2011202
932	907324	2010117
933	908236	2009011
934	909250	2008130
935	910265	2007252
936	911205	2006208
937	912263	2005424
938	913244	2004470
939	914255	2003581
940	915215	2002581
941	916214	2001665
942	917105	2000515
943	918091	1999572
944	919014	1998491
945	920048	1997652
946	921060	1996764
947	921955	1995626
948	922926	1994649
949	923840	1993549
950	924726	1992391
951	925575	1991154
952	926457	1989988
953	927462	1989086
954	928483	1988219
955	929485	1987311
956	930481	1986388
957	931448	1985405
958	932353	1984290
959	933345	1983359
960	934343	1982440
961	935276	1981385
962	936262	1980443
963	937127	1979245
964	938050	1978167
965	939058	1977271
966	940096	1976439
967	941131	1975598
968	942017	1974445
969	942916	1973320
970	943864	1972298
971	944848	1971350
972	945852	1970446
973	946909	1969649
974	947793	1968493
975	948727	1967443
976	949625	1966318
977	950612	1965376
978	951641	1964521
979	952517	1963352
980	953590	1962588
981	954604	1961703
982	955567	1960711
983	956591	1959846
984	957628	1959006
985	958613	1958060
986	959613	1957144
987	960596	1956194
988	961582	1955249
989	962496	1954159
990	963479	1953208
991	964469	1952272
992	965312	1951039
993	966284	1950066
994	967203	1948987
995	968096	1947857
996	969003	1946753
997	969860	1945551
998	970904	1944724
999	971890	1943780
1000	972798	1942681
1001	973836	1941840
1002	974735	1940724
1003	975723	1939785
1004	976714	1938851
1005	977669	1937845
1006	978715	1937021
1007	979699	1936071
1008	980744	1935244
1009	981737	1934314
1010	982772	1933467
1011	983685	1932379
1012	984697	1931485
1013	985598	1930373
1014	986523	1929309
1015	987468	1928284
1016	988257	1926957
1017	989146	1925823
1018	990147	1924909
1019	991106	1923912
1020	992124	1923031
1021	993163	1922188
1022	994042	1921038
1023	994965	1919972
1024	995916	1918960
1025	996955	1918119
1026	997927	1917147
1027	998910	1916198
1028	999923	1915304
1029	1000884	1914312
1030	1001921	1913466
1031	1002853	1912418
1032	1003851	1911496
1033	1004832	1910542
1034	1005706	1909384
1035	1006704	1908462
1036	1007631	1907407
1037	1008623	1906473
1038	1009545	1905407
1039	1010467	1904342
1040	1011455	1903401
1041	1012351	1902288
1042	1013256	1901191
1043	1014186	1900141
1044	1015159	1899173
1045	1016168	1898273
1046	1017149	1897319
1047	1018071	1896255
1048	1019039	1895276
1049	1020021	1894326
1050	1021019	1893402
1051	1022022	1892491
1052	1022961	1891458
1053	1023860	1890352
1054	1024892	1889493
1055	1025822	1888445
1056	1026784	1887457
1057	1027691	1886367
1058	1028620	1885319
1059	1029502	1884183
1060	1030475	1883215
1061	1031491	1882326
1062	1032456	1881343
1063	1033485	1880478
1064	1034497	1879579
1065	1035499	1878663
1066	1036579	1877890
1067	1037550	1876916
1068	1038529	1875959
1069	1039519	1875020
1070	1040369	1873830
1071	1041294	1872775
1072	1042288	1871844
1073	1043184	1870737
1074	1044210	1869865
1075	1045240	1868999
1076	1046142	1867902
1077	1047047	1866814
1078	1047921	1865670
1079	1048898	1864707
1080	1049818	1863645
1081	1050734	1862578
1082	1051668	1861540
1083	1052572	1860450
1084	1053594	1859569
1085	1054492	1858469
1086	1055427	1857436
1087	1056398	1856465
1088	1057263	1855307
1089	1058112	1854124
1090	1059194	1853346
1091	1060091	1852248
1092	1061076	1851302
1093	1062061	1850355
1094	1062965	1849268
1095	1063952	1848326
1096	1064941	1847387
1097	1065977	1846529
1098	1066922	1845513
1099	1067902	1844558
1100	1068854	1843554
1101	1069786	1842517
1102	1070661	1841382
1103	1071547	1840265
1104	1072563	1839374
1105	1073621	1838553
1106	1074597	1837590
1107	1075615	1836700
1108	1076582	1835723
1109	1077490	1834645
1110	1078526	1833786
1111	1079413	1832673
1112	1080391	1831715
1113	1081309	1830655
1114	1082214	1829574
1115	1083239	1828695
1116	1084291	1827861
1117	1085205	1826795
1118	1086083	1825668
1119	1087108	1824789
1120	1088013	1823708
1121	1088886	1822575
1122	1089879	1821642
1123	1090894	1820745
1124	1091874	1819790
1125	1092774	1818703
1126	1093809	1817838
1127	1094827	1816947
1128	1095867	1816093
1129	1096858	1815155
1130	1097730	1814021
1131	1098592	1812871
1132	1099551	1811881
1133	1100511	1810894
1134	1101510	1809970
1135	1102477	1808994
1136	1103406	1807956
1137	1104312	1806881
1138	1105288	1805919
1139	1106307	1805028
1140	1107242	1803999
1141	1108124	1802886
1142	1109040	1801827
1143	1110024	1800879
1144	1111000	1799917
1145	1111921	1798868
1146	1112937	1797971
1147	1113917	1797016
1148	1114954	1796154
1149	1115951	1795225
1150	1116817	1794088
1151	1117793	1793127
1152	1118655	1791983
1153	1119549	1790890
1154	1120546	1789963
1155	1121471	1788921
1156	1122381	1787855
1157	1123393	1786952
1158	1124331	1785931
1159	1125286	1784936
1160	1126300	1784036
1161	1127183	1782929
1162	1128170	1781985
1163	1129185	1781085
1164	1130151	1780110
1165	1131156	1779195
1166	1132018	1778055
1167	1132997	1777099
1168	1134017	1776206
1169	1134932	1775150
1170	1135939	1774239
1171	1136841	1773162
1172	1137863	1772273
1173	1138752	1771177
1174	1139770	1770281
1175	1140769	1769356
1176	1141646	1768242
1177	1142655	1767332
1178	1143584	1766299
1179	1144430	1765138
1180	1145306	1764024
1181	1146206	1762947
1182	1147093	1761849
1183	1147999	1760783
1184	1148966	1759808
1185	1149995	1758930
1186	1150886	1757841
1187	1151825	1756824
1188	1152837	1755919
1189	1153698	1754784
1190	1154682	1753837
1191	1155712	1752959
1192	1156631	1751913
1193	1157516	1750816
1194	1158494	1749859
1195	1159541	1749008
1196	1160488	1748004
1197	1161530	1747144
1198	1162534	1746226
1199	1163557	1745335
1200	1164534	1744377
1201	1165554	1743483
1202	1166532	1742525
1203	1167450	1741479
1204	1168461	1740571
1205	1169476	1739668
1206	1170479	1738748
1207	1171512	1737872
1208	1172369	1736735
1209	1173353	1735787
1210	1174307	1734793
1211	1175323	1733893
1212	1176270	1732889
1213	1177277	1731975
1214	1178234	1730986
1215	1179111	1729880
1216	1180125	1728976
1217	1181020	1727897
1218	1181967	1726894
1219	1183004	1726023
1220	1184001	1725092
1221	1184999	1724164
1222	1186019	1723267
1223	1186875	1722133
1224	1187853	1721175
1225	1188892	1720305
1226	1189800	1719247
1227	1190737	1718229
1228	1191746	1717317
1229	1192687	1716306
1230	1193589	1715239
1231	1194526	1714222
1232	1195540	1713317
1233	1196436	1712242
1234	1197441	1711323
1235	1198425	1710373
1236	1199368	1709366
1237	1200387	1708468
1238	1201352	1707491
1239	1202382	1706607
1240	1203299	1705562
